"","season","season_avg","season_obp","season_slg","season_ops","num_hr","hr_rate","bb_pct","k_pct","bb_k_ratio","sac_rate","three_true"
"134",2004,0.266,0.332,0.428,0.76,5451,0.0289114834439194,0.0860396412451403,0.168817392503487,0.509661000973955,0.00918102693843779,0.283768517192547
"135",2005,0.264,0.327,0.419,0.746,5017,0.0269305506350178,0.0816290379722374,0.164492683607631,0.496247226210677,0.00869593223614287,0.273052272214886
"136",2006,0.269,0.334,0.432,0.766,5386,0.028638120709732,0.0842607313195548,0.168314094145296,0.500616016427105,0.00877859957143845,0.281212946174583
"137",2007,0.268,0.333,0.423,0.756,4957,0.0262799340483398,0.0852441112695695,0.170652571531574,0.499518469042219,0.00816443381772106,0.282176616849483
"138",2008,0.264,0.33,0.416,0.746,4878,0.0259978361784567,0.0870698338760653,0.175258885791793,0.496806957791023,0.00813298442155081,0.288326555846315
"139",2009,0.262,0.33,0.418,0.748,5042,0.0269511810518551,0.0888394742328107,0.179555161188589,0.494775386264178,0.00873962336766821,0.295345816473255
"140",2010,0.257,0.323,0.403,0.726,4613,0.0248608214364629,0.0850323088282054,0.184885181053392,0.459919547601003,0.00832107268543219,0.29477831131806
"141",2011,0.255,0.318,0.399,0.717,4552,0.0245728629652622,0.0810710140624578,0.186175065453858,0.435455810716771,0.00899889335744554,0.291818942481578
"142",2012,0.255,0.316,0.405,0.721,4934,0.0267891562013042,0.0798625250435717,0.197774990634111,0.403804974468786,0.00803023145961266,0.304426671878987
"143",2013,0.253,0.315,0.396,0.711,4661,0.0252120385996798,0.079189926002856,0.198569821281752,0.398801416507764,0.00748085161625341,0.302971785884288
"144",2014,0.251,0.311,0.386,0.697,4186,0.022758905658736,0.0762254795354704,0.20356335087643,0.374455810475148,0.00730177025792701,0.302547736070636
"145",2015,0.254,0.315,0.405,0.72,4909,0.0267335413637428,0.0766390563479227,0.203924259504321,0.375821182502804,0.00653498668496463,0.307296857215987
"146",2016,0.255,0.32,0.417,0.737,5610,0.0303936547150798,0.0817432196686496,0.21120068480534,0.387040504835441,0.00555320785792456,0.323337559189069
"147",2017,0.255,0.323,0.426,0.749,6105,0.0329474621549421,0.0854259424161472,0.216433255079738,0.394698783163774,0.00499203972044578,0.334806659650827
